C0,N0,U0,S0,C1,N1,U1,S1,K1,C2,N2,U2,S2,K2,IS,FID
0,0,1,1,1,0,1,1,0,0,0,1,1,3,7.977648735,22.549924
0,0,1,1,1,0,1,1,0,0,0,1,1,3,8.231683731,19.43613703
0,0,1,1,1,0,1,1,0,0,0,1,1,3,8.512261391,18.63478183
0,0,1,1,1,0,1,1,0,0,0,1,1,3,8.428163528,17.53771187
0,0,1,1,1,0,1,1,0,0,0,1,1,3,8.742837906,18.92601518
0,0,1,1,1,0,1,1,0,0,0,1,1,3,7.411345482,31.71322756
0,0,1,1,1,0,1,1,0,0,0,1,1,3,8.591563225,21.51994346
0,0,1,1,1,0,1,1,1,1,0,2,1,3,8.523926735,14.06693953
0,0,1,1,1,0,1,1,1,1,0,2,1,3,9.012353897,21.06966644
0,0,1,1,1,0,1,1,1,1,0,2,1,3,8.879590988,13.76626898
0,0,1,1,1,0,1,1,1,1,0,2,1,3,8.808674812,13.21940177
0,0,1,1,1,0,1,1,1,1,0,2,1,3,8.670750618,14.87411771
0,0,1,1,1,0,1,1,1,1,0,2,1,3,8.70140934,13.4976697
0,0,1,1,1,0,1,1,1,1,0,2,1,3,8.907333374,14.82291208
1,1,1,1,0,0,1,1,1,1,0,1,1,3,8.482189178,14.30078359
1,1,1,1,0,0,1,1,1,1,0,1,1,3,8.857810974,15.89958618
1,1,1,1,0,0,1,1,1,1,0,1,1,3,8.854940414,14.56325208
1,1,1,1,0,0,1,1,1,1,0,1,1,3,8.869041443,18.16416048
1,1,1,1,0,0,1,1,1,1,0,1,1,3,8.311723709,21.83133473
1,1,1,1,0,0,1,1,1,1,0,1,1,3,8.68774128,18.87412778
1,1,1,1,0,0,1,1,1,1,0,1,1,3,8.388949394,21.4187865
0,0,1,1,0,0,1,1,1,1,0,1,1,2,8.397603035,19.97755956
0,0,1,1,0,0,1,1,1,1,0,1,1,2,7.722510338,24.57568038
0,0,1,1,0,0,1,1,1,1,0,1,1,2,8.37641716,20.13902845
0,0,1,1,0,0,1,1,1,1,0,1,1,2,8.785106659,18.35747671
0,0,1,1,0,0,1,1,1,1,0,1,1,2,8.935444832,19.4191357
0,0,1,1,0,0,1,1,1,1,0,1,1,2,8.670542717,23.96405688
0,0,1,1,0,0,1,1,1,1,0,1,1,2,8.628321648,18.31171645
0,0,1,1,1,0,1,1,0,0,0,1,1,0,8.444643021,20.50177554
0,0,1,1,1,0,1,1,0,0,0,1,1,0,8.324660301,21.44617989
0,0,1,1,1,0,1,1,0,0,0,1,1,0,8.411880493,20.70431499
0,0,1,1,1,0,1,1,0,0,0,1,1,0,8.300203323,21.0512025
0,0,1,1,1,0,1,1,0,0,0,1,1,0,8.866528511,17.23779481
0,0,1,1,1,0,1,1,0,0,0,1,1,0,8.536874771,21.55166183
0,0,1,1,1,0,1,1,0,0,0,1,1,0,7.274898529,35.16523377
0,0,1,1,1,0,1,1,1,0,0,1,1,1,8.436310768,16.41836845
0,0,1,1,1,0,1,1,1,0,0,1,1,1,8.36356163,19.63752764
0,0,1,1,1,0,1,1,1,0,0,1,1,1,8.640227318,23.1897551
0,0,1,1,1,0,1,1,1,0,0,1,1,1,8.253838539,25.53247912
0,0,1,1,1,0,1,1,1,0,0,1,1,1,8.587742805,18.32115142
0,0,1,1,1,0,1,1,1,0,0,1,1,1,8.444322586,21.414363
0,0,1,1,1,0,1,1,1,0,0,1,1,1,8.513116837,21.16031549
0,0,1,1,1,0,1,1,0,0,0,1,1,0,8.296261787,20.83223714
0,0,1,1,1,0,1,1,0,0,0,1,1,0,8.412900925,17.60925009
0,0,1,1,1,0,1,1,0,0,0,1,1,0,8.287088394,18.15403547
0,0,1,1,1,0,1,1,0,0,0,1,1,0,8.550236702,18.19391013
0,0,1,1,1,0,1,1,0,0,0,1,1,0,8.665192604,17.50226299
0,0,1,1,1,0,1,1,0,0,0,1,1,0,8.020102501,33.98192382
0,0,1,1,1,0,1,1,0,0,0,1,1,0,8.510032654,20.77264989
0,0,1,1,1,0,1,1,1,0,0,1,1,0,8.519472122,18.30834407
0,0,1,1,1,0,1,1,1,0,0,1,1,0,8.326314926,19.98199152
0,0,1,1,1,0,1,1,1,0,0,1,1,0,8.521063805,20.88662375
0,0,1,1,1,0,1,1,1,0,0,1,1,0,8.488614082,21.08705161
0,0,1,1,1,0,1,1,1,0,0,1,1,0,8.449651718,19.10669922
0,0,1,1,1,0,1,1,1,0,0,1,1,0,8.33878231,20.08131848
0,0,1,1,1,0,1,1,1,0,0,1,1,0,8.461415291,21.93007032
1,1,1,1,1,0,1,1,0,1,0,2,1,3,8.966223717,18.17179007
1,1,1,1,1,0,1,1,0,1,0,2,1,3,8.849528313,15.28649346
1,1,1,1,1,0,1,1,0,1,0,2,1,3,8.910337448,14.67040198
1,1,1,1,1,0,1,1,0,1,0,2,1,3,8.927578926,15.27009198
1,1,1,1,1,0,1,1,0,1,0,2,1,3,8.660132408,16.09349931
1,1,1,1,1,0,1,1,0,1,0,2,1,3,8.586414337,16.86715041
1,1,1,1,1,0,1,1,0,1,0,2,1,3,8.69691658,14.27304824
1,1,1,1,1,0,1,1,1,1,0,1,1,3,8.591619492,17.01824277
1,1,1,1,1,0,1,1,1,1,0,1,1,3,8.723081589,14.91765046
1,1,1,1,1,0,1,1,1,1,0,1,1,3,8.636738777,14.72078862
1,1,1,1,1,0,1,1,1,1,0,1,1,3,8.760285378,17.25026059
1,1,1,1,1,0,1,1,1,1,0,1,1,3,8.806959152,15.77731126
1,1,1,1,1,0,1,1,1,1,0,1,1,3,9.095661163,16.90008172
1,1,1,1,1,0,1,1,1,1,0,1,1,3,8.761534691,14.99505464
1,1,1,1,0,0,1,1,1,0,0,1,1,1,7.56671381,26.09428861
1,1,1,1,1,0,1,1,1,0,0,1,1,3,8.402462959,18.41315869
1,1,1,1,1,0,1,1,0,1,0,1,1,1,8.981702805,15.21517816
1,1,1,1,1,0,1,1,0,1,0,1,1,1,8.543356895,14.05381611
1,1,1,1,1,0,1,1,0,1,0,1,1,1,8.377067566,16.14646104
1,1,1,1,1,0,1,1,0,1,0,1,1,1,8.774950981,15.33522238
