C0,N0,U0,S0,C1,N1,U1,S1,K1,C2,N2,U2,S2,K2,IS,FID
1,0,1,1,0,2,2,0,0,1,1,2,0,3,7.611766815,27.71849145
1,2,2,0,0,2,1,1,1,1,0,2,1,0,4.823518753,80.41870279
0,2,0,0,0,0,0,0,1,0,2,0,0,0,7.864959717,43.19229464
1,2,0,1,1,2,0,0,0,0,2,0,1,0,6.08912468,80.36865236
1,0,2,1,1,0,1,0,0,0,0,0,0,1,8.662755966,18.79053512
1,0,2,1,1,2,1,0,1,1,2,2,0,1,5.020620346,68.93156769
1,0,1,0,1,2,1,1,0,1,2,2,1,3,5.544198036,64.2315706
0,1,2,1,1,2,2,1,1,1,2,1,0,0,4.1755476,103.2592163
1,1,0,0,1,2,1,1,0,1,2,1,0,2,7.674511909,31.72785258
1,1,0,1,1,2,0,0,1,0,2,1,0,2,5.378367424,97.4595168
